nturns,InitialDeployment,LinkerrorRate,transmissionRange,AUV_NUM,locatingErrorRate,avgAggregatePercentage,avgAggregateDuration
2000,grid,0.0,300,25,0.0,1.0,739.4
2000,grid,0.0,300,25,0.05,0.9800000000000001,1687.0
2000,grid,0.0,300,25,0.1,0.7759999999999999,1688.3
2000,grid,0.0,300,25,0.15,0.8119999999999999,1847.1
2000,grid,0.0,300,25,0.3,0.604,2000.0
2000,grid,0.0,300,25,0.2,0.572,2000.0
2000,grid,0.0,300,25,0.25,0.596,2000.0
2000,grid,0.0,300,25,0.35,0.532,2000.0
2000,grid,0.0,300,36,0.0,1.0,957.2
2000,grid,0.0,300,49,0.0,1.0,591.3
2000,grid,0.0,300,36,0.1,0.8666666666666668,1708.7
2000,grid,0.0,300,36,0.05,0.9472222222222222,1847.1
2000,grid,0.0,300,36,0.15,0.6361111111111112,1851.1
2000,grid,0.0,300,64,0.0,1.0,469.9
2000,grid,0.0,300,36,0.2,0.6611111111111111,2000.0
2000,grid,0.0,300,36,0.25,0.5361111111111112,2000.0
2000,grid,0.0,300,36,0.35,0.5472222222222222,2000.0
2000,grid,0.0,300,36,0.3,0.5472222222222222,2000.0
2000,grid,0.0,300,49,0.05,0.9795918367346939,1844.2
2000,grid,0.0,300,49,0.1,0.7122448979591838,2000.0
2000,grid,0.0,300,49,0.15,0.7693877551020407,2000.0
2000,grid,0.0,300,49,0.2,0.5244897959183673,2000.0
2000,grid,0.0,300,49,0.35,0.3959183673469388,2000.0
2000,grid,0.0,300,81,0.0,1.0,599.6
2000,grid,0.0,300,49,0.25,0.4163265306122449,2000.0
2000,grid,0.0,300,49,0.3,0.4061224489795919,2000.0
2000,grid,0.0,300,100,0.0,1.0,459.0
2000,grid,0.0,300,64,0.05,0.9875,1847.6
2000,grid,0.0,300,64,0.1,0.7171875,2000.0
2000,grid,0.0,300,64,0.25,0.571875,2000.0
2000,grid,0.0,300,64,0.2,0.528125,2000.0
2000,grid,0.0,300,64,0.15,0.5734375,2000.0
2000,grid,0.0,300,64,0.35,0.4453125,2000.0
2000,grid,0.0,300,64,0.3,0.3375,2000.0
2000,grid,0.0,300,81,0.1,0.8728395061728396,1845.1
2000,grid,0.0,300,81,0.05,0.9308641975308642,2000.0
2000,grid,0.0,300,81,0.3,0.5172839506172839,2000.0
2000,grid,0.0,300,81,0.15,0.5246913580246912,2000.0
2000,grid,0.0,300,81,0.25,0.4469135802469135,2000.0
2000,grid,0.0,300,81,0.35,0.4234567901234567,2000.0
2000,grid,0.0,300,81,0.2,0.3950617283950617,2000.0
2000,grid,0.0,300,100,0.05,0.933,1690.4
2000,grid,0.0,300,100,0.1,0.683,1844.8
2000,grid,0.0,300,100,0.15,0.677,2000.0
2000,grid,0.0,300,100,0.3,0.6260000000000001,2000.0
2000,grid,0.0,300,100,0.2,0.512,2000.0
2000,grid,0.0,300,100,0.25,0.44800000000000006,2000.0
2000,grid,0.0,300,100,0.35,0.288,2000.0
